User_Id,Score
1724926,116
85514,85
49412,75
63550,54
11522,52
4402407,51
316357,51
190280,48
863713,38
501275,36
3272574,36
1002744,31
1609077,30
2336654,30
579980,29
606755,28
443143,24
3147590,22
3341945,21
283296,18
3604473,18
1978504,15
1125663,15
1525147,15
378080,14
974555,14
2476110,13
4786305,13
300886,12
143476,11
772649,10
572616,9
1658296,9
308827,9
509205,9
1913936,8
1112163,8
819718,8
1461210,8
439325,7
766251,7
4948165,7
202091,7
5002668,7
1041868,7
1529314,7
1382869,6
961665,6
3357979,6
1851268,6
2784163,6
894510,5
222470,5
228653,5
1513130,5
640739,5
5577564,5
1820650,5
3492061,4
133374,4
1882455,4
721998,4
2572773,4
3450793,4
5695018,4
3821012,4
2356181,4
4838189,4
4179599,4
5688175,4
4596596,4
4393898,4
497600,4
1034747,4
1705012,3
2096230,3
6225259,3
2770149,3
5240945,3
2902280,3
610569,3
75033,3
4057392,3
5061950,3
4759898,3
158049,3
7048592,3
7025089,3
6150853,3
2605604,3
6575893,3
6598386,3
3610381,3
6934489,3
403294,3
3813324,3
1005409,2
4759645,2
7039838,2
1078391,2
6128789,2
7066781,2
2780360,2
6161587,2
5905642,2
6835437,2
1715453,2
1598778,2
6866272,2
6020498,2
6577574,2
7039917,2
632242,2
492372,2
3826115,2
3437012,2
7095790,2
7048618,2
1112586,2
6293038,2
3254859,2
484944,2
5111380,2
6896234,2
6095474,2
103054,2
4927939,2
146077,2
2061989,2
5721772,2
3340234,2
1675976,2
1133286,2
6915859,2
2666270,2
6931248,2
1208142,2
7081827,2
6906747,2
3019689,2
7059507,2
5058507,2
7015401,2
1475412,2
2201603,1
5768196,1
2301970,1
3599381,1
5282980,1
6902835,1
3063903,1
1972356,1
4226199,1
3377691,1
271526,1
2343086,1
7012893,1
1131712,1
5782727,1
2605262,1
4567247,1
6949070,1
5197007,1
4313321,1
2587904,1
6317366,1
7019148,1
3843397,1
993630,1
5896534,1
5982950,1
1556228,1
5517373,1
3660146,1
4185468,1
4852094,1
5269892,1
1087908,1
1957969,1
5460458,1
1652217,1
4321796,1
6546694,1
7085613,1
5583416,1
2224704,1
5683778,1
5661795,1
3503704,1
6556253,1
4163515,1
3426927,1
4702833,1
512652,1
7071375,1
5289618,1
1868436,1
3716774,1
3606192,1
1233594,1
785099,1
3552975,1
4690647,1
851699,1
3286134,1
442117,1
722695,1
2424587,1
2651924,1
2946352,1
2109064,1
7070520,1
2101900,1
3965778,1
5711393,1
6089591,1
2735009,1
3571640,1
2710160,1
2467772,1
5922756,1
3747801,1
2805751,1
4930565,0
669705,0
4031498,0
7087119,0
6902762,0
5818372,0
6909978,0
4673566,0
1713185,0
5194792,0
2971693,0
5917745,0
7069749,0
7019019,0
7056453,0
6805576,0
648265,0
7091274,0
492620,0
6844497,0
1089623,0
6030440,0
5039196,0
6951270,0
2821224,0
3228006,0
4980092,0
1976453,0
4714631,0
7010463,0
1845408,0
4915137,0
6067364,0
7069864,0
1920178,0
5285918,0
6811609,0
5086391,0
828602,0
4591804,0
2966723,0
1970384,0
2383070,0
654203,0
6278404,0
3228542,0
5289209,0
6866170,0
1045755,0
670979,0
4133131,0
5431568,0
6572305,0
482601,0
1496362,0
2330923,0
2933038,0
1791279,0
5018930,0
5526835,0
5263412,0
2437514,0
2558506,0
1250635,0
5806421,0
3841374,0
1797492,0
3887338,0
4606294,0
6348170,0
5890240,0
5007758,0
5280153,0
3835290,0
6477678,0
2113962,0
6944197,0
1179925,0
817630,0
443874,0
6224363,0
1258237,0
2679280,0
4402942,0
6718957,0
6033923,0
3568044,0
3511819,0
3235342,0
4647439,0
3585557,0
2657817,0
1695258,0
7093789,0
7034398,0
5811973,0
3494433,0
5705270,0
7057982,0
567879,0
5121617,0
6309471,0
5224720,0
6503010,0
2986596,0
140903,0
5502568,0
5719657,0
4405877,0
2757239,0
4384381,0
5550721,0
6872163,0
5597830,0
6530695,0
7066248,0
1316501,0
4566639,0
3466910,0
3594865,0
1171112,0
4637358,0
4618932,0
2919106,0
5371682,0
4538066,0
7090901,0
4955885,0
5005052,0
127747,0
5175044,0
3869448,0
3254025,0
2734863,0
5698862,0
4933403,0
7026461,0
7051042,0
7047973,0
4467502,0
6307123,0
428862,0
5998425,0
7044959,0
288609,0
6936420,0
5197677,0
4094830,0
7078768,0
7049073,0
297850,0
5112712,0
886669,0
6527887,0
5718928,0
5404567,0
5453723,0
1017373,0
1046429,0
4585383,0
1092525,0
5289913,0
6101290,0
1380285,0
246719,0
3646408,0
4811722,0
1542093,0
5774291,0
4289502,0
7073762,0
4442084,0
3377126,0
4050925,0
7045144,-1
7090230,-1
2550866,-1
7055626,-1
2514197,-1
7090573,-1
3108267,-1
6196696,-1
1725944,-1
7027216,-1
6441544,-1
6306448,-1
7044761,-1
5805801,-1
1158977,-1
5069802,-1
6743956,-1
7060297,-1
4078549,-1
7010422,-2
5203117,-2
1071284,-2
4141431,-2
7085432,-2
1801733,-2
4258501,-2
6790910,-2
6379348,-2
3425162,-2
3300849,-3
3746632,-3
7090557,-5
5962049,-5
7048274,-6
7077259,-7
