tag,userId,userName,Link,Reputation
mapreduce,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
mapreduce,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
